# Data taken from the book
#   Grant, PR, Grant, BR (2014) 40 years of evolution:
#   Darwin's finches on Daphne Major Island.
#   Princeton: Princeton University Press.
#
# Accessed throug the Dryad data package:
#   Grant PR, Grant BR(2014) Data from: 40 years of evolution.
#   Darwin's finches on Daphne Major Island. Dryad Digital Repository.
#   http://dx.doi.org/10.5061/dryad.g6g3h
#
# The data appear as in the original file
#        Fig. 10-03 data, 91.csv
#
band,species,blength,bdepth
10740,scandens,14.75,9.3
13256,scandens,15.35,9.85
13257,scandens,14.47,9.62
13548,scandens,14.3,9
14208,scandens,12.73,9.52
14524,scandens,15.3,9.9
14576,scandens,13.8,8.6
14584,scandens,15.04,9.21
14646,scandens,14.3,9.38
14728,scandens,14.29,9.37
14731,scandens,14.04,9.02
14755,scandens,13.6,8.9
14758,scandens,13.84,8.91
14759,scandens,14.04,9.06
14786,scandens,13.7,8.4
14830,scandens,14.7,8.7
14834,scandens,13.75,8.7
14835,scandens,14.09,8.91
14847,scandens,15.3,10.1
14877,scandens,15.2,10.27
14946,scandens,14.9,9.65
14975,scandens,13.95,9.28
14995,scandens,14.2,9.2
15235,scandens,14.04,7.96
15237,scandens,13,8.3
15406,scandens,14.2,8.9
15419,scandens,14.9,8.6
15441,scandens,14.6,9.1
15476,scandens,13.6,8.6
15615,scandens,14.63,9.37
15638,scandens,14.35,9.2
15639,scandens,14.2,9.1
15658,scandens,14.45,9.85
15685,scandens,13.84,9.02
15694,scandens,13.14,9.51
15704,scandens,12.34,8.81
15718,scandens,10.75,7.77
15721,scandens,11.89,8.96
15725,scandens,11.5,8.8
15736,scandens,15,9.1
15760,scandens,14.34,9.01
15765,scandens,13.85,8.9
15798,scandens,13.15,8.4
15812,scandens,14.85,9.25
15817,scandens,14.77,9.73
15837,scandens,14.45,9.2
15859,scandens,14.57,8.95
15901,scandens,14.5,8.7
15986,scandens,14.17,8.72
16100,scandens,14.3,9.6
16109,scandens,14,9.3
16113,scandens,14.9,10.4
16183,scandens,14,8.9
16195,scandens,11.8,9.3
16568,scandens,12.15,8.4
16569,scandens,12.7,8.6
16585,scandens,13.7,8.9
16600,scandens,15,10.1
16873,scandens,14.4,8.9
17001,scandens,12.8,8.8
17004,scandens,14.05,9.25
17099,scandens,13.3,8.6
17140,scandens,13.1,8.7
17143,scandens,12.9,8.4
17153,scandens,14.8,9.5
17176,scandens,14.15,8.65
17305,scandens,14.4,9
17353,scandens,14.6,9
17374,scandens,13,8.5
17474,scandens,14.6,9.75
17475,scandens,13.8,9.1
17504,scandens,13.9,9.3
17505,scandens,13.6,8.6
17548,scandens,13.9,9
17658,scandens,14.3,9.1
17673,scandens,14.7,8.2
17674,scandens,13.5,8.1
17685,scandens,14,9.4
17764,scandens,13.1,9
17779,scandens,12.9,8.8
